Date,Algerian Dinar,Australian Dollar,Bahrain Dinar,Bolivar Fuerte,Botswana Pula,Brazilian Real,Brunei Dollar,Canadian Dollar,Chilean Peso,Chinese Yuan,Colombian Peso,Czech Koruna,Danish Krone,Euro,Hungarian Forint,Icelandic Krona,Indian Rupee,Indonesian Rupiah,Iranian Rial,Israeli New Sheqel,Japanese Yen,Kazakhstani Tenge,Korean Won,Kuwaiti Dinar,Libyan Dinar,Malaysian Ringgit,Mauritian Rupee,Mexican Peso,Nepalese Rupee,New Zealand Dollar,Norwegian Krone,Nuevo Sol,Pakistani Rupee,Peso Uruguayo,Philippine Peso,Polish Zloty,Qatar Riyal,Rial Omani,Russian Ruble,Saudi Arabian Riyal,Singapore Dollar,South African Rand,Sri Lanka Rupee,Swedish Krona,Swiss Franc,Thai Baht,Trinidad And Tobago Dollar,Tunisian Dinar,U.A.E. Dirham,U.K. Pound Sterling,U.S. Dollar
1995-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1995-1-3,,,0.376,,,0.843,,1.4035,,,833.18,,6.1185,,,68.56,31.37,2201.0,1753.998616,,,,788.7,0.29964,0.525,2.5525,,,49.88,,6.799,,30.877,,,,3.64,0.3845,,3.745,1.4563,3.55,50.04,7.4588,1.3168,25.1,5.875,,3.671,1.5617,1.0
1995-1-4,,0.7704,0.376,,,0.844,,1.4026,,,835.38,,6.124,,,68.66,31.37,2202.0,1753.525647,,100.98,,788.5,0.29982,0.525,2.551,,,49.88,0.6401,6.804,,30.877,,,,3.64,0.3845,,3.745,1.4537,3.56,50.07,7.448,1.3161,25.13,5.8738,,3.671,1.5605,1.0
1995-1-5,,0.7693,0.376,,,0.844,,1.4002,,,838.33,,6.1135,,,68.56,31.37,2202.0,1746.89,,101.0,,789.3,0.29982,0.525,2.5488,,,49.88,0.6381,6.7885,,30.877,,,,3.64,0.3845,,3.745,1.452,3.55,50.07,7.445,1.308,25.14,5.87,,3.671,1.561,1.0
1995-1-6,,0.7699,0.376,,,0.842,,1.4002,,,838.87,,6.0965,,,68.43,31.37,2202.0,1744.746721,,100.95,,789.6,,0.525,2.5497,,,49.88,0.6387,6.768,,30.877,,,,3.64,0.3845,,3.745,1.4527,3.56,50.07,,1.304,25.13,5.881,,3.671,1.5645,1.0
1995-1-9,,0.7658,0.376,,,0.839,,1.4058,,,,,6.1345,,,68.74,31.37,2203.0,1752.297222,,101.05,,790.3,0.29996,0.525,2.5525,,,49.88,0.6373,6.806,,30.877,,,,3.64,0.3845,,3.745,1.4535,3.55,50.14,7.5231,1.3075,25.15,5.8843,,3.671,1.5537,1.0
1995-1-10,,0.7643,0.376,,,0.844,,1.4125,,,837.07,,6.063,,,68.18,31.37,2203.0,1739.134601,,100.18,,791.0,0.29927,0.525,2.55,,,49.88,0.6369,6.737,,30.9372,,,,3.64,0.3845,,3.745,1.4502,3.54,50.11,7.502,1.288,25.09,5.8961,,3.671,1.5623,1.0
1995-1-11,,0.767,0.376,,,0.846,,1.414,,,,,6.059,,,68.1,31.37,2203.0,1746.914644,,99.85,,791.2,0.29916,0.525,2.5528,,,49.88,0.6415,6.735,,30.9372,,,,3.64,0.3845,,3.745,1.4499,3.53,50.09,7.5115,1.2875,25.07,5.8682,,3.671,1.563,1.0
1995-1-12,,0.7706,0.376,,,0.849,,1.416,,,843.69,,6.065,,,68.13,31.37,2203.0,,,100.0,,790.2,0.29916,0.525,2.5575,,,49.88,0.6429,6.7375,,30.9372,,,,3.64,0.3845,,3.745,1.4533,3.53,50.13,7.49,1.2903,25.08,5.8708,,3.671,1.5585,1.0
1995-1-13,,0.7613,0.376,,,0.844,,1.4106,,,841.52,,6.031,,,67.82,31.37,2203.0,,,98.85,,790.0,,0.525,2.5585,,,49.88,0.6403,6.698,,30.9372,,,,3.64,0.3845,,3.745,1.4635,3.53,50.08,7.4868,1.2847,25.05,5.8881,,3.671,1.5705,1.0
1995-1-16,,0.7593,0.376,,,0.845,,1.4122,,,843.7,,6.052,,,,31.37,2203.0,1751.437999,,,,792.8,0.29879,0.525,2.5563,,,49.88,0.6385,6.718,,30.9372,,,,3.64,0.3845,,3.745,1.4509,3.54,,7.4765,1.292,25.04,5.8715,,3.671,1.5697,1.0
1995-1-17,,0.7616,0.376,,,0.848,,1.4212,,,846.61,,6.0355,,,67.85,31.37,2204.0,1749.725415,,99.0,,792.7,0.29897,0.525,2.554,,,49.88,0.641,6.697,,30.9372,,,,3.64,0.3845,,3.745,1.4498,3.54,50.14,7.4547,1.2845,25.05,5.8635,,3.671,1.5678,1.0
1995-1-18,,0.7596,0.376,,,0.844,,1.4215,,,847.61,,6.022,,,67.76,31.37,2204.0,1748.48929,,98.92,,792.0,0.29897,0.525,2.5502,,,49.88,0.6395,6.685,,30.9372,,,,3.64,0.3845,,3.745,1.4494,3.53,50.12,7.438,1.2825,25.05,5.8637,,3.671,1.5755,1.0
1995-1-19,,0.7613,0.376,,,0.844,,1.4211,,,850.26,,6.0475,,,68.01,31.38,2204.0,1755.041484,,99.45,,792.5,0.29912,0.525,2.5535,,,49.88,0.6408,6.715,,30.9372,,,,3.64,0.3845,,3.745,1.4548,3.54,50.17,7.4986,1.2945,25.07,5.8636,,3.671,1.5693,1.0
